horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
20,resplit_44,A4_logit_equal,0.6495,0.048,0.048,0.002,-0.0029,0.527
20,resplit_44,F1_unregularized,0.6541,0.0527,0.0527,0.005,0.0018,0.342
20,resplit_44,F3_l1,0.6422,0.0407,0.0407,0.012,-0.0102,0.021
20,resplit_44,F7_interaction,0.6547,0.0532,0.0532,0.001,0.0023,0.562
20,resplit_44,P3_categorical_parity,0.649,0.0475,0.0475,0.001,-0.0033,0.714
20,resplit_55,B0_prevalence,0.4986,-0.1028,-0.1028,0.016,-0.1537,0.001
20,resplit_55,B1_parity_only,0.5707,-0.0307,-0.0307,0.472,-0.0816,0.012
20,resplit_55,B2_m3_only,0.6015,0.0,0.0,1.0,-0.0508,0.004
20,resplit_55,F2_hybrid_C0.1,0.6523,0.0508,0.0508,0.004,0.0,1.0
20,resplit_55,A3_prob_avg_a0.25,0.6554,0.054,0.054,0.018,0.0031,0.722
20,resplit_55,A3_prob_avg_a0.5,0.6514,0.0499,0.0499,0.0,-0.0009,0.794
20,resplit_55,A3_prob_avg_a0.75,0.6279,0.0264,0.0264,0.001,-0.0244,0.056
20,resplit_55,A3_prob_avg_selected,0.6565,0.0551,0.0551,0.01,0.0042,0.639
20,resplit_55,A4_logit_unconstrained,0.6532,0.0517,0.0517,0.005,0.0009,0.677
20,resplit_55,A4_logit_nonneg,0.6532,0.0517,0.0517,0.005,0.0009,0.681
20,resplit_55,A4_logit_sum_to_one,0.6526,0.0511,0.0511,0.023,0.0003,0.936
20,resplit_55,A4_logit_equal,0.6485,0.047,0.047,0.001,-0.0038,0.23
20,resplit_55,F1_unregularized,0.6532,0.0518,0.0518,0.005,0.0009,0.663
20,resplit_55,F3_l1,0.6447,0.0432,0.0432,0.003,-0.0076,0.107
20,resplit_55,F7_interaction,0.6562,0.0547,0.0547,0.0,0.0039,0.283
20,resplit_55,P3_categorical_parity,0.6487,0.0472,0.0472,0.001,-0.0036,0.696
